开始统计文件行数...

0it [00:00, ?it/s]
3886it [00:00, 38854.85it/s]
7774it [00:00, 38862.09it/s]
11766it [00:00, 39338.43it/s]
15758it [00:00, 39565.99it/s]
19715it [00:00, 39500.15it/s]
23668it [00:00, 39506.27it/s]
27650it [00:00, 39608.32it/s]
31611it [00:00, 39260.73it/s]
35538it [00:00, 39261.61it/s]
39522it [00:01, 39437.21it/s]
43467it [00:01, 39416.98it/s]
47449it [00:01, 39536.93it/s]
51451it [00:01, 39681.00it/s]
55435it [00:01, 39725.83it/s]
59408it [00:01, 39718.23it/s]
63380it [00:01, 39593.23it/s]
67378it [00:01, 39707.94it/s]
71349it [00:01, 39423.14it/s]
75330it [00:01, 39535.87it/s]
79285it [00:02, 39292.74it/s]
83215it [00:02, 38888.48it/s]
87105it [00:02, 38401.32it/s]
90947it [00:02, 38238.94it/s]
94772it [00:02, 37886.93it/s]
98562it [00:02, 37624.26it/s]
102422it [00:02, 37909.37it/s]
106214it [00:02, 37866.69it/s]
110002it [00:02, 37835.81it/s]
113786it [00:02, 37750.77it/s]
117674it [00:03, 38085.44it/s]
121633it [00:03, 38533.94it/s]
126483it [00:03, 41508.55it/s]
131354it [00:03, 43661.05it/s]
136210it [00:03, 45125.32it/s]
141081it [00:03, 46198.66it/s]
145941it [00:03, 46917.33it/s]
150861it [00:03, 47599.33it/s]
155713it [00:03, 47873.29it/s]
160590it [00:03, 48139.26it/s]
165460it [00:04, 48303.57it/s]
170291it [00:04, 21666.30it/s]
173957it [00:04, 22802.17it/s]
177339it [00:04, 24285.85it/s]
181929it [00:04, 28617.29it/s]
185602it [00:05, 20719.16it/s]
188528it [00:05, 10432.18it/s]
190696it [00:06, 10033.65it/s]
195055it [00:06, 13929.12it/s]
200054it [00:06, 19058.72it/s]
205019it [00:06, 24224.19it/s]
209229it [00:06, 27696.48it/s]
213867it [00:06, 31755.24it/s]
218890it [00:06, 36131.46it/s]
223464it [00:06, 38557.46it/s]
227915it [00:06, 39605.26it/s]
233047it [00:07, 42793.72it/s]
238339it [00:07, 45627.22it/s]
243596it [00:07, 47609.67it/s]
248881it [00:07, 49127.23it/s]
254176it [00:07, 50244.45it/s]
259463it [00:07, 51016.39it/s]
264693it [00:07, 51394.75it/s]
269974it [00:07, 51814.99it/s]
275230it [00:07, 52035.08it/s]
280465it [00:07, 52128.36it/s]
285704it [00:08, 52202.65it/s]
290937it [00:08, 52189.50it/s]
296174it [00:08, 52240.38it/s]
301404it [00:08, 52209.52it/s]
306630it [00:08, 49927.39it/s]
311647it [00:08, 44368.60it/s]
316206it [00:08, 41041.14it/s]
320425it [00:08, 39170.78it/s]
324959it [00:08, 40779.77it/s]
332518it [00:09, 50230.21it/s]
338641it [00:09, 53302.63it/s]
344103it [00:09, 44227.91it/s]
348863it [00:09, 36365.09it/s]
352927it [00:09, 34184.47it/s]
356637it [00:09, 34138.49it/s]
362312it [00:09, 39591.34it/s]
368792it [00:10, 46050.41it/s]
373700it [00:10, 37621.10it/s]
377904it [00:10, 31661.44it/s]
382253it [00:10, 34212.58it/s]
386629it [00:10, 36460.63it/s]
391524it [00:10, 39603.11it/s]
396200it [00:10, 41493.33it/s]
400584it [00:10, 42036.99it/s]
405168it [00:11, 43104.12it/s]
410256it [00:11, 45330.85it/s]
415114it [00:11, 46272.77it/s]
419814it [00:11, 44949.92it/s]
425050it [00:11, 47083.98it/s]
430252it [00:11, 48521.92it/s]
435493it [00:11, 49664.75it/s]
440687it [00:11, 50337.02it/s]
445905it [00:11, 50883.51it/s]
451161it [00:11, 51380.44it/s]
456369it [00:12, 51587.98it/s]
461536it [00:12, 50914.28it/s]
466635it [00:12, 48074.42it/s]
471479it [00:12, 45247.12it/s]
476054it [00:12, 43829.73it/s]
481004it [00:12, 45397.06it/s]
486138it [00:12, 47078.60it/s]
490883it [00:12, 46459.43it/s]
495555it [00:12, 45789.86it/s]
500662it [00:12, 47309.84it/s]
505412it [00:13, 47103.76it/s]
510136it [00:13, 46299.40it/s]
514777it [00:13, 44357.51it/s]
519234it [00:13, 44016.01it/s]
523649it [00:13, 41645.26it/s]
527842it [00:13, 40523.45it/s]
531915it [00:13, 40187.66it/s]
535947it [00:13, 40197.64it/s]
539976it [00:13, 36841.97it/s]
544095it [00:14, 38025.85it/s]
548642it [00:14, 40117.57it/s]
553788it [00:14, 43363.14it/s]
558926it [00:14, 45689.38it/s]
564081it [00:14, 47406.88it/s]
569270it [00:14, 48729.41it/s]
574438it [00:14, 49596.68it/s]
579617it [00:14, 50248.38it/s]
584810it [00:14, 50747.94it/s]
589895it [00:15, 44100.34it/s]
594467it [00:15, 35848.63it/s]
598391it [00:15, 32266.36it/s]
601886it [00:15, 29150.42it/s]
605006it [00:15, 29411.20it/s]
608099it [00:15, 29716.95it/s]
611184it [00:15, 25018.13it/s]
614963it [00:16, 28008.50it/s]
618787it [00:16, 30567.90it/s]
622190it [00:16, 31480.18it/s]
625934it [00:16, 33109.49it/s]
629695it [00:16, 34371.54it/s]
633442it [00:16, 35253.41it/s]
637291it [00:16, 36186.86it/s]
641085it [00:16, 36699.47it/s]
644918it [00:16, 37176.97it/s]
