开始统计文件行数...

0it [00:00, ?it/s]
12285it [00:00, 122827.28it/s]
25321it [00:00, 127241.96it/s]
39695it [00:00, 134769.56it/s]
53426it [00:00, 135765.56it/s]
69658it [00:00, 145332.49it/s]
84192it [00:01, 54006.32it/s] 
94612it [00:01, 29822.18it/s]
102052it [00:02, 23560.06it/s]
107541it [00:02, 20669.16it/s]
111729it [00:03, 18985.27it/s]
115038it [00:03, 17831.05it/s]
117746it [00:03, 16891.37it/s]
120029it [00:03, 16082.63it/s]
122008it [00:03, 15453.06it/s]
123778it [00:04, 15126.35it/s]
125428it [00:04, 14867.22it/s]
126998it [00:04, 14439.29it/s]
128486it [00:04, 14004.99it/s]
129906it [00:04, 13810.84it/s]
131296it [00:04, 13666.41it/s]
132666it [00:04, 13512.99it/s]
134017it [00:04, 13401.39it/s]
135356it [00:04, 13286.31it/s]
136683it [00:05, 13184.87it/s]
138019it [00:05, 13232.15it/s]
139342it [00:05, 13158.02it/s]
140657it [00:05, 13120.23it/s]
141969it [00:05, 13061.89it/s]
143288it [00:05, 13097.83it/s]
144613it [00:05, 13138.25it/s]
145927it [00:05, 13062.51it/s]
147266it [00:05, 13158.70it/s]
148610it [00:05, 13241.45it/s]
149935it [00:06, 13172.30it/s]
151253it [00:06, 13112.21it/s]
152574it [00:06, 13138.81it/s]
153942it [00:06, 13298.51it/s]
155273it [00:06, 13241.70it/s]
156635it [00:06, 13349.03it/s]
157971it [00:06, 13241.14it/s]
159312it [00:06, 13286.78it/s]
160672it [00:06, 13377.61it/s]
162010it [00:07, 13177.28it/s]
163329it [00:07, 13081.56it/s]
164646it [00:07, 13106.22it/s]
165958it [00:07, 13087.96it/s]
167353it [00:07, 13339.31it/s]
168688it [00:07, 13122.02it/s]
170002it [00:07, 13007.22it/s]
171304it [00:07, 12953.51it/s]
172604it [00:07, 12966.81it/s]
173948it [00:07, 13099.74it/s]
175259it [00:08, 13055.37it/s]
176575it [00:08, 13075.00it/s]
177944it [00:08, 13257.03it/s]
179270it [00:08, 13243.72it/s]
180632it [00:08, 13355.79it/s]
181971it [00:08, 13365.14it/s]
183319it [00:08, 13396.23it/s]
184659it [00:08, 13313.20it/s]
185991it [00:08, 13297.43it/s]
187321it [00:08, 13214.80it/s]
188643it [00:09, 13188.61it/s]
189962it [00:09, 13163.22it/s]
191279it [00:09, 13097.27it/s]
192649it [00:09, 13274.30it/s]
193977it [00:09, 13134.65it/s]
195291it [00:09, 12980.72it/s]
196651it [00:09, 13162.48it/s]
197983it [00:09, 13206.07it/s]
199305it [00:09, 13166.67it/s]
200628it [00:09, 13184.19it/s]
201959it [00:10, 13220.50it/s]
203282it [00:10, 13161.37it/s]
204599it [00:10, 13073.15it/s]
205923it [00:10, 13121.81it/s]
207248it [00:10, 13158.41it/s]
208610it [00:10, 13294.40it/s]
209940it [00:10, 13241.89it/s]
211267it [00:10, 13248.31it/s]
212605it [00:10, 13278.02it/s]
213933it [00:10, 13248.43it/s]
215271it [00:11, 13284.77it/s]
216622it [00:11, 13350.90it/s]
217958it [00:11, 13313.60it/s]
219290it [00:11, 13239.41it/s]
220615it [00:11, 13167.04it/s]
221980it [00:11, 13307.18it/s]
223311it [00:11, 13163.79it/s]
224628it [00:11, 12253.08it/s]
225866it [00:11, 10925.07it/s]
226990it [00:12, 10272.42it/s]
228042it [00:12, 9818.08it/s] 
229041it [00:12, 9632.67it/s]
230280it [00:12, 10367.39it/s]
231560it [00:12, 11035.01it/s]
232863it [00:12, 11597.79it/s]
234211it [00:12, 12133.16it/s]
235517it [00:12, 12399.32it/s]
236823it [00:12, 12586.70it/s]
238183it [00:12, 12885.60it/s]
239550it [00:13, 13117.65it/s]
240869it [00:13, 13138.21it/s]
242203it [00:13, 13187.70it/s]
243533it [00:13, 13219.81it/s]
244862it [00:13, 13239.81it/s]
246217it [00:13, 13331.91it/s]
247551it [00:13, 13211.05it/s]
248873it [00:13, 13196.05it/s]
250241it [00:13, 13339.89it/s]
251611it [00:13, 13447.07it/s]
252957it [00:14, 13410.53it/s]
254319it [00:14, 13472.52it/s]
255667it [00:14, 13400.69it/s]
257008it [00:14, 12896.35it/s]
258371it [00:14, 13108.24it/s]
259686it [00:14, 13110.50it/s]
261000it [00:14, 13020.98it/s]
262392it [00:14, 13281.46it/s]
263815it [00:14, 13558.83it/s]
265191it [00:15, 13611.81it/s]
266579it [00:15, 13687.60it/s]
267949it [00:15, 13683.33it/s]
269318it [00:15, 13540.02it/s]
270680it [00:15, 13562.83it/s]
272057it [00:15, 13621.64it/s]
273479it [00:15, 13797.50it/s]
274912it [00:15, 13955.97it/s]
276308it [00:15, 13913.06it/s]
277700it [00:15, 13807.99it/s]
279082it [00:16, 13546.50it/s]
280438it [00:16, 13457.28it/s]
281785it [00:16, 13431.07it/s]
283130it [00:16, 13434.23it/s]
284479it [00:16, 13449.90it/s]
285825it [00:16, 13242.93it/s]
287151it [00:16, 13122.49it/s]
288464it [00:16, 12676.19it/s]
289735it [00:16, 12480.85it/s]
291049it [00:16, 12670.66it/s]
292391it [00:17, 12888.41it/s]
293682it [00:17, 12793.37it/s]
295007it [00:17, 12921.17it/s]
296301it [00:17, 12637.94it/s]
297567it [00:17, 11964.14it/s]
298772it [00:17, 11657.33it/s]
300060it [00:17, 11999.15it/s]
301384it [00:17, 12354.04it/s]
305339it [00:17, 20268.75it/s]
312360it [00:17, 34932.29it/s]
318193it [00:18, 41845.55it/s]
323900it [00:18, 46363.71it/s]
328768it [00:18, 47051.43it/s]
333500it [00:18, 46448.60it/s]
338166it [00:18, 40340.28it/s]
343066it [00:18, 42661.41it/s]
350875it [00:18, 52473.77it/s]
356299it [00:18, 50894.24it/s]
361518it [00:19, 13392.60it/s]
385616it [00:20, 34936.36it/s]
409721it [00:20, 59488.34it/s]
423871it [00:20, 66002.57it/s]
436491it [00:20, 57803.62it/s]
446621it [00:20, 53503.70it/s]
455005it [00:21, 50681.63it/s]
462152it [00:21, 48596.68it/s]
468417it [00:21, 47286.95it/s]
474089it [00:21, 46502.61it/s]
479374it [00:21, 45594.72it/s]
484353it [00:21, 44579.74it/s]
489082it [00:21, 44475.47it/s]
493717it [00:21, 43977.04it/s]
498238it [00:22, 43660.05it/s]
502686it [00:22, 42885.23it/s]
507028it [00:22, 43021.85it/s]
511368it [00:22, 43093.77it/s]
515710it [00:22, 43185.38it/s]
520048it [00:22, 42735.84it/s]
524335it [00:22, 42216.37it/s]
528566it [00:22, 42148.95it/s]
532787it [00:22, 41960.94it/s]
535402it [00:22, 23337.08it/s]
文件总行数: 535402

读取数据:   0%|          | 0/535402 [00:00<?, ?it/s]
读取数据:   1%|          | 2938/535402 [00:00<00:18, 29371.27it/s]
读取数据:   1%|          | 5949/535402 [00:00<00:17, 29800.14it/s]
读取数据:   2%|▏         | 8930/535402 [00:00<00:17, 29687.10it/s]
读取数据:   2%|▏         | 11944/535402 [00:00<00:17, 29862.66it/s]
读取数据:   3%|▎         | 14967/535402 [00:00<00:17, 29987.01it/s]
读取数据:   3%|▎         | 17991/535402 [00:00<00:17, 30072.25it/s]
读取数据:   4%|▍         | 21025/535402 [00:00<00:17, 30157.56it/s]
读取数据:   4%|▍         | 24041/535402 [00:00<00:17, 28813.60it/s]
读取数据:   5%|▌         | 26935/535402 [00:00<00:18, 27222.23it/s]
读取数据:   6%|▌         | 29679/535402 [00:01<00:18, 26897.94it/s]
读取数据:   6%|▌         | 33404/535402 [00:01<00:16, 29896.13it/s]
读取数据:   7%|▋         | 36532/535402 [00:01<00:16, 30294.46it/s]
读取数据:   7%|▋         | 39641/535402 [00:01<00:16, 30527.15it/s]
